capscan.py: fekerr 20180909-20180911
Simple python script to scan YouTube .SBV captions files.
Usage: capscan <caption.sbv> [werdz.txt]

Arguments on command line: 3 :
./capscan.py
254_captions.sbv
werdz254.txt
Attempting very simple open of sys.argv[1]= 254_captions.sbv
<open file '254_captions.sbv', mode 'r' at 0x7f68a15c55d0>
03531.390, 3537.9900 think I should have revealed that okay I
03535.140, 3539.3390 have one more question for you that when
03537.990, 3543.1800 you were young when you were the age
03539.339, 3546.4800 that your sons are now yes what did you
03543.180, 3549.2990 want to be when you grow up yeah I
03546.480, 3553.2300 wanted to be an engineer really from
03549.299, 3555.2990 that young yes so before I wanted to be
03553.230, 3559.5790 in a chair I actually wanted to be a
03555.299, 3563.4300 garbage collection man also buy boxes
03559.579, 3566.9100 but right after that I wanted to be at
03563.430, 3570.6600 my my my stepdad was a garbage
03566.910, 3573.0590 collection person and I you know in high
03570.660, 3576.6500 school I was like oh god don't tell
03573.059, 3581.3690 anybody to say he drives trucks and I
03576.650, 3585.0590 found out a few years ago that I was the
03581.369, 3586.5300 coolest person in the neighborhood to
03585.059, 3589.0790 the five-year-old who lived across the
03586.530, 3591.2700 street when he found out that my stepdad
03589.079, 3593.7000 Drive garbage trucks he was just like
03591.270, 3597.3900 that was the coolest thing yeah I was
03593.700, 3599.2800 probably the same yeah but you but you
03597.390, 3601.1090 knew what an engineer was and you wanted
03599.280, 3605.2200 to build things at a young age did you
03601.109, 3607.0200 take things apart my Iancu was an
03605.220, 3609.7200 electronics is an electronics engineer
03607.020, 3612.4500 so I guess that's what I picked that up
03609.720, 3615.0490 from yeah I absolutely was hated by my
03612.450, 3619.0490 brothers I constantly took apart toys
03615.049, 3620.5200 and I never put them back together no
03619.049, 3623.4000 once you know how they work they don't
03620.520, 3625.2900 who cares yeah my mom says that I went
03623.400, 3632.1000 to the University so I could learn how
03625.290, 3634.3500 to put the toys well I think we've kept
03632.100, 3635.6100 you for long enough Gabrielle do you
03634.350, 3638.1600 have any thoughts you'd like to leave us
03635.610, 3641.7600 with yes I'd like to read you a quote
03638.160, 3643.9800 one of my favorite it says it's from
03641.760, 3645.6300 Douglas Adams from mostly harmless and
03643.980, 3647.2200 it says a common mistake that people
03645.630, 3649.5300 make when trying to design something
03647.220, 3655.5200 completely foolproof is to underestimate
03649.530, 3659.5500 the ingenuity of concrete faults yes a
03655.520, 3662.6100 lesson to live by yeah I guess it has
03659.550, 3664.6500 been Gabrielle Okubo software
03662.610, 3668.0400 electronics and systems engineer at
03664.650, 3670.1400 large you can contact him via Twitter
03668.040, 3671.7900 via his webpage which will of course be
03670.140, 3674.2800 in the show notes or you can email us
03671.790, 3675.8600 and we will forward it along thank you
03674.280, 3677.1600 so much for being with us Gabrielle
03675.860, 3680.9100 thank you
03677.160, 3682.4100 it's been very nice being here thank you
03680.910, 3684.3600 to Christopher for producing and
03682.410, 3685.0500 co-hosting and of course thank you for
03684.360, 3687.1800 listening
03685.050, 3689.4000 you can always contact us at show at
03687.180, 3691.5900 embedded FM or hit the contact link on
03689.400, 3695.8500 the embedded FM website where you can
03691.590, 3698.4000 also find at the blog and now a quote to
03695.850, 3702.3500 leave you with a from a jorge luis
03698.400, 3705.2100 borges plant your own gardens and
03702.350, 3708.7700 decorate your own soul instead of
03705.210, 3708.7700 waiting for someone to bring you flowers
03709.609, 3714.0000 embedded is an independently produced
03711.900, 3716.5200 radio show that focuses on the many
03714.000, 3718.3800 aspects of engineering it is a
03716.520, 3720.2900 production of logical elegance an
03718.380, 3723.0000 embedded software consulting company in
03720.290, 3725.2500 California if there are advertisements
03723.000, 3727.7700 in the show we did not put them there
03725.250, 3730.3500 and do not receive money from them at
03727.770, 3734.2200 this time our sponsors are logical
03730.350, 3736.2800 elegance and listeners like you
03734.220, 3736.2800 you
Attempting very simple open *FOR OUTPUT* of sys.argv[2]= werdz254.txt
